run_id,date,dataset,parameters,mean_val_dice,std_val_dice,hypothesis,notes,interpretation,architecture_activation,architecture_bottleneck_channels,architecture_dropout_probability,architecture_encoder_channels,architecture_group_norm_num_groups,architecture_input_channels,architecture_kernel_size,architecture_normalization,architecture_skip_connection_mode,architecture_upsampling_mode,architecture_use_attention_gates,architecture_use_depthwise_separable_convolutions,architecture_use_residual_connections,architecture_use_single_convolution_per_block,training_batch_size,training_cyclic_learning_rate_half_cycle_epochs,training_cyclic_learning_rate_maximum,training_cyclic_learning_rate_minimum,training_data_root,training_early_stopping_minimum_improvement_delta,training_early_stopping_patience,training_epochs,training_image_size,training_learning_rate,training_max_samples,training_seed,training_use_color_input,training_use_cyclic_learning_rate,training_weight_decay,training_gradient_clipping_max_norm,training_use_augmentation,training_augmentation_apply_horizontal_flip,training_augmentation_apply_vertical_flip,training_augmentation_rotation_max_angle_degrees,architecture_weight_initialization,architecture_convolutions_per_block
2026_06_24_22_03_16,2026-06-24,EMSegmentation,21249,0.6709,0.0167,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 4 blocks + paper's optimization(without residual connection),,h_swish,64,0.0,"[8, 16, 32, 64]",8,1,3,none,add,nearest_neighbor,False,True,False,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_24_22_28_14,2026-06-24,EMSegmentation,5761,0.5636,0.048,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + ds conv 3 blocks + paper's optimization(without residual connection),,h_swish,32,0.0,"[8, 16, 32]",8,1,3,none,add,nearest_neighbor,False,True,False,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_24_22_52_59,2026-06-24,EMSegmentation,28817,0.7386,0.0074,Depth-wise separable layers does not lose much in Dice.,emseg + no norm + standard conv 3 blocks + paper's optimization(without residual connection),,h_swish,32,0.0,"[8, 16, 32]",8,1,3,none,add,nearest_neighbor,False,False,False,True,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,True,0.0001,,,,,,,
2026_06_24_23_13_40,2026-06-24,EMSegmentation,60273,0.8812,0.0128,Batch normalization vs Residual Connections.,emseg + batch norm + ds conv 4 blocks + residual,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,concate,nearest_neighbor,False,True,True,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
2026_06_24_23_26_42,2026-06-24,EMSegmentation,16529,0.8194,0.0184,Batch normalization vs Residual Connections.,emseg + batch norm + ds conv 3 blocks + residual,,relu,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,concate,nearest_neighbor,False,True,True,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
2026_06_24_23_41_45,2026-06-24,EMSegmentation,45481,0.1667,0.0317,Batch normalization vs Residual Connections.,emseg + no batch norm + ds conv 4 blocks + no residual,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,none,concate,nearest_neighbor,False,True,False,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
2026_06_24_23_49_41,2026-06-25,EMSegmentation,59057,0.8575,0.0473,Batch normalization vs Residual Connections.,emseg + no batch norm + ds conv 4 blocks + residual,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,none,concate,nearest_neighbor,False,True,True,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
2026_06_25_00_09_25,2026-06-25,EMSegmentation,12617,0.1756,0.0,Batch normalization vs Residual Connections.,emseg + no batch norm + ds conv 3 blocks + no residual,,relu,32,0.0,"[8, 16, 32]",8,1,3,none,concate,nearest_neighbor,False,True,False,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
2026_06_25_00_17_18,2026-06-25,EMSegmentation,15953,0.7842,0.0055,Batch normalization vs Residual Connections.,emseg + no batch norm + ds conv 3 blocks + residual,,relu,32,0.0,"[8, 16, 32]",8,1,3,none,concate,nearest_neighbor,False,True,True,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
2026_06_25_03_11_59,2026-06-25,EMSegmentation,46697,0.9055,0.0041,Batch normalization vs Residual Connections.,emseg + batch norm + ds conv 4 blocks + no residual,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,concate,nearest_neighbor,False,True,False,False,64.0,2.0,0.001,1e-06,data/EMSegmentation,0.001,10.0,100.0,256.0,0.001,,44.0,False,False,0.0001,,,,,,,
